physid,round,contribution,average_others,bonus,group_id_in_round,group_individual_share,belief,group_total_cont,loss0_gain1,total_payoff,gender,age,riskpos,riskneg,ua_pos,ua_neg,reci,session,la
704,20,5,14,0,3,11,10,22,0,-380,1,22,,,3,4,76,1,4
704,21,0,5,0,1,22,8,45,0,-380,1,22,,,3,4,76,1,4
704,22,5,14,0,2,11,10,22,0,-380,1,22,,,3,4,76,1,4
704,23,15,18,0,2,10,7,20,0,-380,1,22,,,3,4,76,1,4
704,24,0,17,2,1,4,4,8,0,-380,1,22,,,3,4,76,1,4
704,25,0,16,3,2,5,4,10,0,-380,1,22,,,3,4,76,1,4
704,26,0,18,1,2,2,4,5,0,-380,1,22,,,3,4,76,1,4
704,27,0,6,0,3,20,3,40,0,-380,1,22,,,3,4,76,1,4
715,1,1,16,3,1,5,4,11,0,-306,0,29,8,6,6,2,28,1,
715,2,1,13,0,3,10,4,21,0,-306,0,29,8,6,6,2,28,1,
715,3,2,11,1,1,13,7,27,0,-306,0,29,8,6,6,2,28,1,
715,4,3,16,0,2,7,7,15,0,-306,0,29,8,6,6,2,28,1,
715,5,0,18,1,2,2,4,5,0,-306,0,29,8,6,6,2,28,1,
715,6,0,18,2,3,3,3,6,0,-306,0,29,8,6,6,2,28,1,
715,7,0,13,0,3,10,2,20,0,-306,0,29,8,6,6,2,28,1,
715,8,0,15,1,2,7,3,15,0,-306,0,29,8,6,6,2,28,1,
715,9,0,17,3,2,4,3,8,0,-306,0,29,8,6,6,2,28,1,
715,10,0,14,0,3,8,3,17,0,-306,0,29,8,6,6,2,28,1,
715,11,0,14,0,3,8,3,17,0,-306,0,29,8,6,6,2,28,1,
715,12,0,18,1,2,3,4,6,0,-306,0,29,8,6,6,2,28,1,
715,13,0,12,0,2,12,3,24,0,-306,0,29,8,6,6,2,28,1,
715,14,4,9,0,2,18,4,37,0,-306,0,29,8,6,6,2,28,1,
715,15,8,18,0,3,6,5,13,0,-306,0,29,8,6,6,2,28,1,
715,16,0,13,0,2,10,4,20,0,-306,0,29,8,6,6,2,28,1,
715,17,0,12,0,3,11,5,22,0,-306,0,29,8,6,6,2,28,1,
715,18,2,19,0,1,2,6,4,0,-306,0,29,8,6,6,2,28,1,
715,19,0,16,1,1,5,6,11,0,-306,0,29,8,6,6,2,28,1,
715,20,0,18,0,2,3,5,6,0,-306,0,29,8,6,6,2,28,1,
715,21,0,16,3,2,6,4,12,0,-306,0,29,8,6,6,2,28,1,
715,22,0,12,0,2,11,4,22,0,-306,0,29,8,6,6,2,28,1,
715,23,0,6,0,3,20,3,40,0,-306,0,29,8,6,6,2,28,1,
715,24,0,17,2,1,4,4,8,0,-306,0,29,8,6,6,2,28,1,
715,25,0,6,0,1,20,6,40,0,-306,0,29,8,6,6,2,28,1,
715,26,0,14,1,1,8,4,17,0,-306,0,29,8,6,6,2,28,1,
715,27,0,6,0,3,20,4,40,0,-306,0,29,8,6,6,2,28,1,
746,1,10,15,0,3,12,10,25,0,-307,0,30,5,,5,5,29,1,5
746,2,15,15,3,1,15,5,30,0,-307,0,30,5,,5,5,29,1,5
746,3,15,6,0,3,27,5,55,0,-307,0,30,5,,5,5,29,1,5
746,4,0,13,0,3,10,10,20,0,-307,0,30,5,,5,5,29,1,5
746,5,0,10,0,1,15,0,30,0,-307,0,30,5,,5,5,29,1,5
746,6,0,18,0,1,2,5,5,0,-307,0,30,5,,5,5,29,1,5
746,7,0,14,0,2,8,0,17,0,-307,0,30,5,,5,5,29,1,5
746,8,0,12,0,3,11,5,22,0,-307,0,30,5,,5,5,29,1,5
746,9,0,14,0,3,8,2,17,0,-307,0,30,5,,5,5,29,1,5
746,10,0,14,0,3,8,0,17,0,-307,0,30,5,,5,5,29,1,5
746,11,0,14,2,3,8,5,17,0,-307,0,30,5,,5,5,29,1,5
746,12,0,16,2,1,6,5,12,0,-307,0,30,5,,5,5,29,1,5
746,13,0,12,0,2,12,4,24,0,-307,0,30,5,,5,5,29,1,5
746,14,0,20,0,3,0,5,0,0,-307,0,30,5,,5,5,29,1,5
746,15,0,15,0,3,6,0,13,0,-307,0,30,5,,5,5,29,1,5
746,16,0,13,1,2,10,5,20,0,-307,0,30,5,,5,5,29,1,5
746,17,0,15,1,1,7,7,14,0,-307,0,30,5,,5,5,29,1,5
746,18,0,5,0,3,22,7,45,0,-307,0,30,5,,5,5,29,1,5
746,19,0,16,2,1,5,5,11,0,-307,0,30,5,,5,5,29,1,5
746,20,0,18,0,2,3,5,6,0,-307,0,30,5,,5,5,29,1,5
746,21,0,16,2,2,6,5,12,0,-307,0,30,5,,5,5,29,1,5
746,22,0,16,1,3,5,6,10,0,-307,0,30,5,,5,5,29,1,5
746,23,0,6,0,3,20,5,40,0,-307,0,30,5,,5,5,29,1,5
746,24,0,17,1,1,4,5,8,0,-307,0,30,5,,5,5,29,1,5
746,25,0,16,2,2,5,3,10,0,-307,0,30,5,,5,5,29,1,5
746,26,0,18,1,2,2,4,5,0,-307,0,30,5,,5,5,29,1,5
